gene,H2O_30m_A,H2O_30m_B,H2O_30m_C,PNA79_30m_A,PNA79_30m_B,PNA79_30m_C,PNAscr_30m_A,PNAscr_30m_B,PNAscr_30m_C,H2O_16h_A,H2O_16h_B,H2O_16h_C,PNA79_16h_A,PNA79_16h_B,PNA79_16h_C,PNAscr_16h_A,PNAscr_16h_B,PNAscr_16h_C
cds-C4N14_09285,136,244,183,128,366,219,258,161,200,49,57,67,216,344,176,135,151,194
cds-C4N14_09295,328,701,590,439,833,562,862,618,918,107,175,217,170,188,152,231,300,317
cds-C4N14_09300,140,217,187,164,313,208,344,143,206,199,241,282,229,363,224,200,182,178
cds-C4N14_09305,19,30,38,26,32,30,43,32,26,325,221,275,217,249,178,76,111,96
cds-C4N14_09310,11,2,12,8,8,7,8,5,2,42,36,62,20,40,21,8,15,17
cds-C4N14_09315,9,10,5,3,10,2,9,5,2,52,47,81,50,47,31,34,21,16
cds-C4N14_09320,23,32,24,16,35,26,30,27,21,196,162,183,130,162,75,71,78,73
cds-C4N14_09325,66,70,59,58,86,54,105,47,67,425,274,425,362,387,225,178,210,184
cds-C4N14_09330,185,195,197,153,256,162,280,129,222,439,406,504,411,424,222,332,339,274
cds-C4N14_09335,514,500,541,700,684,640,1116,578,667,2346,1766,2223,1477,1674,1098,1000,996,1004
cds-C4N14_09340,191,218,168,164,221,171,289,164,207,620,504,706,676,734,423,458,488,468
cds-C4N14_09345,26,35,50,70,85,66,108,38,74,92,55,97,82,81,59,66,50,55
cds-C4N14_09350,282,284,288,344,302,304,468,221,297,447,397,538,243,314,194,293,293,260
cds-C4N14_09355,2437,3220,2377,1880,4177,1520,3521,1865,2006,1152,992,1278,3114,4287,2185,1932,1612,1557
cds-C4N14_09360,3527,6426,5121,2060,6734,3573,4084,2960,3340,5017,3714,5596,11609,11762,7073,6809,7773,7168
cds-C4N14_09365,15,20,10,8,15,14,8,13,12,24,21,38,12,18,19,12,12,10
cds-C4N14_09370,18,30,34,20,28,28,39,23,28,27,34,38,10,11,9,27,40,28
cds-C4N14_09375,77,78,63,46,98,65,96,61,45,61,72,103,69,122,95,95,82,98
cds-C4N14_09380,2,11,6,2,8,4,3,3,9,11,12,18,11,31,15,15,7,13
cds-C4N14_09385,35,20,37,52,43,50,84,45,45,29,43,47,31,54,42,53,29,43
cds-C4N14_09390,5,6,0,2,12,2,9,4,1,26,17,17,8,14,10,16,15,18
cds-C4N14_09395,55,80,68,38,68,56,45,28,51,143,129,183,139,279,195,247,186,222
cds-C4N14_09400,366,361,259,192,524,228,431,231,261,1108,839,1059,1308,1893,1004,1377,1231,1322
cds-C4N14_09405,1960,1516,1323,1181,1646,1083,1830,950,2100,4230,8137,11309,3287,2819,2449,11875,18679,10056
cds-C4N14_09410,1430,2388,1738,1403,2608,1475,2288,1505,1622,1945,2004,2301,2603,3707,1906,1337,1329,1430
cds-C4N14_09415,391,662,537,269,698,319,519,301,337,1664,1426,1926,1569,1615,1058,911,1034,873
cds-C4N14_09420,146,160,125,67,155,77,117,71,89,526,506,675,661,628,428,314,395,358
cds-C4N14_09425,130,217,168,107,222,113,198,130,162,601,611,809,474,430,254,235,318,284
cds-C4N14_09430,263,355,338,191,437,325,321,194,237,3299,2424,3055,1571,1988,1169,906,939,886
cds-C4N14_09435,186,190,204,143,232,143,234,138,155,1608,1194,1546,1253,1292,703,616,754,545
cds-C4N14_09440,1675,3885,2880,1691,4066,1816,3135,1921,1970,1114,1043,1498,1410,2151,1343,1297,1470,1262
cds-C4N14_09450,395,712,573,390,800,449,607,379,469,357,266,380,428,564,306,426,398,443
cds-C4N14_09455,149,179,129,117,225,90,165,143,139,327,232,267,578,559,260,463,422,419
cds-C4N14_09460,734,1205,923,748,1350,899,1419,691,1118,2394,2011,2778,2437,2872,1492,2291,2043,2351
cds-C4N14_09465,131,128,92,192,197,167,310,141,253,875,730,896,631,873,486,427,443,460
cds-C4N14_09470,139,210,189,86,257,126,203,122,164,610,572,709,787,1077,645,480,527,496
cds-C4N14_09480,119,206,171,93,213,154,186,146,198,413,341,520,321,647,368,418,419,588
cds-C4N14_09485,49,61,42,32,62,37,35,29,74,166,119,187,55,87,51,85,102,103
cds-C4N14_09490,663,940,760,462,1148,588,767,545,704,1048,966,1105,1449,1584,1025,1006,1004,988
cds-C4N14_09495,540,911,694,424,921,389,752,406,525,715,727,975,1119,2233,1224,601,705,786
cds-C4N14_09500,50,66,51,27,81,42,49,37,42,226,282,367,173,343,202,132,114,137
cds-C4N14_09505,1007,1009,1269,1683,1445,1487,2224,1142,1315,1698,1914,2213,1010,1486,911,1000,1085,1144
cds-C4N14_09510,261,279,284,417,414,360,603,281,435,252,334,401,171,295,225,256,258,307
cds-C4N14_09515,29,30,22,23,28,29,54,13,31,84,106,138,75,109,79,47,63,65
cds-C4N14_09520,416,343,380,431,388,304,616,336,321,378,399,534,268,445,283,297,336,299
cds-C4N14_09525,61,60,69,28,76,48,81,34,49,315,295,407,275,435,235,163,200,194
cds-C4N14_09530,74,111,105,48,109,50,76,66,45,303,272,319,269,433,253,167,172,168
cds-C4N14_09535,305,301,251,195,341,209,317,183,224,294,303,446,290,312,238,216,270,304
cds-C4N14_09540,326,409,361,254,479,279,402,255,270,787,641,856,791,1126,702,741,658,843
cds-C4N14_09545,301,516,354,202,515,287,446,256,372,491,401,591,504,656,404,557,503,561
cds-C4N14_09550,5803,7601,6351,4127,8979,6270,7484,4931,8410,5564,6323,8584,6682,7683,4557,6623,7407,8285
cds-C4N14_09555,383,534,440,435,664,480,627,402,678,806,795,1111,823,759,573,818,730,1022
cds-C4N14_09560,698,871,834,451,964,494,920,544,521,837,711,995,786,1019,665,571,531,679
cds-C4N14_09565,669,1027,904,520,1355,863,943,616,609,1099,792,1100,1538,1892,1121,1014,938,975
cds-C4N14_09570,214,213,220,248,308,274,358,200,325,303,322,434,353,309,219,373,425,434
cds-C4N14_09575,356,482,366,268,513,325,528,290,434,355,282,412,432,521,263,389,368,400
cds-C4N14_09580,148,167,139,72,180,104,153,112,96,281,198,252,128,248,125,167,122,138
cds-C4N14_09585,87,134,97,75,150,94,90,97,67,103,93,138,33,59,38,88,83,70
cds-C4N14_09590,10721,17000,13147,12221,21843,13434,24957,12514,21989,2559,3441,4873,7796,7494,4623,6370,5549,8058
cds-C4N14_09595,230,317,306,153,319,208,312,149,240,746,613,837,532,563,386,403,522,430
cds-C4N14_09600,135,93,92,75,168,76,124,72,67,611,433,490,316,367,211,232,226,210
cds-C4N14_09605,341,535,419,267,547,334,536,307,396,1886,1436,1890,1084,1472,829,736,704,717
